action_taken,loan_type,loan_amount,income,debt_to_income_ratio,loan_to_value_ratio,interest_rate,property_value,loan_term,loan_type.1,loan_purpose,occupancy_type,applicant_age,negative_amortization,rate_spread,derived_race_2 or more minority races,derived_race_American Indian or Alaska Native,derived_race_Asian,derived_race_Black or African American,derived_race_Free Form Text Only,derived_race_Joint,derived_race_Native Hawaiian or Other Pacific Islander,derived_race_Race Not Available,derived_race_White,derived_sex_Female,derived_sex_Joint,derived_sex_Male,derived_sex_Sex Not Available,y_pred
3,1,505000.0,265.0,,,,1005000.0,240.0,1,32,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,3,55000.0,77.0,25.0,100.0,,,360.0,3,1,1,30.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,375000.0,101.0,44.0,39.93,4.75,955000.0,360.0,1,32,1,50.0,2,0.3923,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,45000.0,115.0,33.0,98.35,,195000.0,240.0,1,2,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
3,1,65000.0,171.0,25.0,86.71,,345000.0,360.0,1,2,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,455000.0,256.0,25.0,66.667,3.75,675000.0,360.0,1,31,1,40.0,2,-0.004,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,405000.0,111.0,43.0,68.376,5.09,585000.0,360.0,1,4,1,60.0,2,0.43,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,45000.0,,,,,,300.0,1,2,1,40.0,2,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
4,1,105000.0,169.0,,,,,360.0,1,31,1,30.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,745000.0,450.0,25.0,43.82,3.25,1705000.0,360.0,1,31,1,50.0,2,-0.31556,False,False,False,False,False,False,False,False,True,False,True,False,False,1
4,1,55000.0,35.0,,,,,360.0,1,2,1,30.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,95000.0,175.0,10.0,80.0,4.125,115000.0,180.0,1,1,1,60.0,2,1.002,False,False,False,False,False,False,False,False,True,False,True,False,False,1
6,1,395000.0,84.0,,,4.5,585000.0,360.0,1,32,1,30.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,425000.0,121.0,33.0,35.42,3.625,1205000.0,360.0,1,32,1,30.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
6,1,445000.0,175.0,,,4.375,1085000.0,360.0,1,31,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,875000.0,278.0,25.0,60.0,2.75,1655000.0,360.0,1,31,1,30.0,2,-0.29,False,False,False,False,False,False,False,True,False,False,False,False,True,1
1,1,135000.0,110.0,,,,,,1,1,1,60.0,1111,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,3,85000.0,30.0,33.0,100.0,4.79,75000.0,300.0,3,1,1,23.0,2,1.428,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,25000.0,141.0,25.0,89.88,4.99,245000.0,120.0,1,2,1,40.0,2,0.94,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,525000.0,125.0,47.0,60.0,3.875,875000.0,360.0,1,32,1,40.0,2,-0.032,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,115000.0,130.0,25.0,9.11,3.625,1235000.0,180.0,1,31,1,60.0,2,0.436,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,1005000.0,366.0,10.0,82.89,3.625,1215000.0,360.0,1,31,1,40.0,2,-0.454,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,2,285000.0,140.0,25.0,90.0,4.5,305000.0,360.0,2,1,1,40.0,2,0.922,False,False,False,False,False,False,False,False,True,True,False,False,False,1
6,1,545000.0,116.0,,,4.125,685000.0,360.0,1,31,1,40.0,2,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,35000.0,115.0,10.0,17.59,4.125,195000.0,120.0,1,4,1,60.0,2,0.095,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,205000.0,342.0,25.0,57.221,,795000.0,360.0,1,31,1,50.0,2,,False,False,True,False,False,False,False,False,False,False,True,False,False,1
1,1,1805000.0,550.0,33.0,63.28,2.5,2875000.0,360.0,1,31,1,50.0,2,-0.765,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,575000.0,223.0,25.0,69.94,3.875,815000.0,360.0,1,32,2,60.0,2,-0.17,False,False,False,False,False,False,False,False,True,True,False,False,False,1
5,1,105000.0,54.0,,,,,180.0,1,2,1,60.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,3,255000.0,61.0,33.0,100.0,4.75,245000.0,360.0,3,1,1,23.0,2,0.333,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,205000.0,43.0,,,,,,1,1,1,40.0,1111,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,205000.0,145.0,37.0,92.422,,645000.0,360.0,1,4,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,65000.0,113.0,48.0,84.99,5.9,305000.0,360.0,1,31,1,30.0,2,0.7,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,65000.0,59.0,25.0,60.522,4.5,115000.0,360.0,1,32,1,30.0,2,1.17,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,1625000.0,,25.0,80.0,3.375,2035000.0,360.0,1,31,1,40.0,2,-0.5319,False,False,False,False,False,False,False,False,True,False,False,True,False,1
5,2,345000.0,,,,,,337.0,2,31,1,30.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,75000.0,71.0,25.0,75.0,4.25,105000.0,180.0,1,1,1,40.0,2,0.617,False,False,False,False,False,False,False,False,True,False,False,True,False,1
3,1,805000.0,288.0,41.0,26.667,,3005000.0,360.0,1,32,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
4,2,115000.0,43.0,,,,,360.0,2,32,1,30.0,2,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
3,1,45000.0,61.0,33.0,,,,240.0,1,2,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,35000.0,109.0,37.0,87.858,,355000.0,360.0,1,2,1,30.0,2,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,155000.0,205.0,43.0,65.64,5.25,1055000.0,240.0,1,2,1,30.0,2,0.974,False,False,False,False,False,False,False,True,False,False,True,False,False,1
5,1,85000.0,161.0,,,,,360.0,1,4,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,15000.0,135.0,38.0,80.0,4.9,265000.0,180.0,1,2,1,40.0,2,1.13,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,65000.0,86.0,49.0,50.79,5.5,515000.0,240.0,1,2,1,50.0,2,0.474,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,205000.0,275.0,25.0,39.92,4.375,505000.0,360.0,1,2,1,60.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,1905000.0,389.0,33.0,43.28,3.317,4395000.0,360.0,1,31,1,50.0,2,-0.638,False,False,False,False,False,False,False,True,False,False,False,False,True,1
1,3,165000.0,83.0,10.0,93.567,3.875,175000.0,360.0,3,1,1,30.0,2,0.263,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,1155000.0,1849.0,10.0,21.296,2.875,5405000.0,360.0,1,31,1,50.0,2,-0.461,False,False,False,False,False,False,False,True,False,False,True,False,False,1
1,1,45000.0,133.0,,,,,,1,4,1,40.0,1111,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,255000.0,655.0,25.0,65.07,3.99,965000.0,360.0,1,31,1,50.0,2,0.43,False,False,False,False,False,False,False,False,True,False,True,False,False,1
4,1,135000.0,225.0,,,,,180.0,1,4,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,655000.0,188.0,33.0,29.69,3.125,2205000.0,360.0,1,32,1,50.0,2,-0.325,False,False,False,False,False,False,False,False,True,False,False,True,False,1
3,1,35000.0,75.0,37.0,53.0,,275000.0,300.0,1,2,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,95000.0,183.0,47.0,89.9,5.54,635000.0,480.0,1,31,1,30.0,2,1.81,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,45000.0,100.0,10.0,32.0,3.65,125000.0,120.0,1,2,1,50.0,2,-0.08,False,False,False,False,False,False,False,False,True,False,False,True,False,1
3,1,305000.0,460.0,25.0,27.27,,1105000.0,360.0,1,32,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,105000.0,317.0,10.0,36.35,3.99,735000.0,360.0,1,4,1,60.0,2,-1.15,False,False,False,False,False,False,False,False,True,False,True,False,False,1
4,1,125000.0,84.0,,,,,360.0,1,31,1,30.0,2,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,1905000.0,751.0,33.0,49.351,2.625,3855000.0,360.0,1,31,1,50.0,2,-1.043,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,2005000.0,1473.0,33.0,51.948,3.125,3855000.0,360.0,1,31,1,50.0,2,-0.239,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,55000.0,90.0,47.0,95.0,,65000.0,180.0,1,1,1,23.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,545000.0,287.0,25.0,44.11,2.875,1245000.0,360.0,1,31,1,60.0,2,-0.523,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,165000.0,,33.0,26.667,4.0,605000.0,360.0,1,32,1,60.0,2,0.109,False,False,False,False,False,False,False,False,True,True,False,False,False,1
3,1,25000.0,140.0,33.0,92.83,,325000.0,240.0,1,4,1,30.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,95000.0,87.0,,,,,,1,31,1,40.0,1111,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,65000.0,139.0,,,,,,1,2,1,70.0,1111,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
5,1,25000.0,139.0,,,,,240.0,1,4,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
4,1,175000.0,100.0,,,,,360.0,1,31,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,225000.0,58.0,,,,,,1,32,1,30.0,1111,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
3,1,2005000.0,627.0,,,,2405000.0,240.0,1,2,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,2,125000.0,65.0,38.0,96.5,4.99,125000.0,360.0,2,1,1,40.0,2,1.8095,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,35000.0,171.0,41.0,75.515,,325000.0,300.0,1,2,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,445000.0,175.0,41.0,42.0,4.375,1085000.0,360.0,1,31,1,40.0,2,0.079,False,False,False,False,False,False,False,False,True,False,False,True,False,1
3,1,105000.0,444.0,10.0,76.77,,295000.0,360.0,1,2,1,60.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,95000.0,103.0,43.0,35.64,4.75,395000.0,240.0,1,4,1,40.0,2,1.156,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,215000.0,210.0,45.0,80.0,5.09,905000.0,300.0,1,4,1,50.0,2,0.81,False,False,False,False,False,False,False,False,True,False,True,False,False,1
4,1,55000.0,110.0,,,,,240.0,1,4,1,30.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
4,1,165000.0,124.0,,,,,180.0,1,1,1,23.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
